,type,y,x,t,size
403,car13,53.0578,64.0508,0,1
404,car13,53.0578,64.0508,1,1
405,car13,53.0578,64.0508,2,1
406,car13,53.0578,64.0508,3,1
407,car13,53.0578,64.0508,4,1
408,car13,53.0578,64.0508,5,1
409,car13,53.0578,64.0508,6,1
410,car13,53.0578,64.0508,7,1
411,car13,53.0578,64.0508,8,1
412,car13,53.0578,64.0508,9,1
413,car13,53.0578,64.0508,10,1
414,car13,53.0578,64.0508,11,1
415,car13,53.0578,64.0508,12,1
416,car13,53.0578,64.0508,13,1
417,car13,53.0578,64.0508,14,1
418,car13,53.0578,64.0508,15,1
419,car13,53.0578,64.0508,16,1
420,car13,53.0578,64.0508,17,1
421,car13,53.0578,64.0508,18,1
422,car13,53.0578,64.0508,19,1
423,car13,53.0578,64.0508,20,1
424,car13,53.0578,64.0508,21,1
425,car13,53.0578,64.0508,22,1
426,car13,53.0578,64.0508,23,1
427,car13,53.0578,64.0508,24,1
428,car13,53.0578,64.0508,25,1
429,car13,53.0578,64.0508,26,1
430,car13,53.0578,64.0508,27,1
431,car13,53.0578,64.0508,28,1
432,car13,53.0578,64.0508,29,1
433,car13,53.0578,64.0508,30,1
434,car14,53.0578,64.0508,0,1
435,car14,53.0578,64.0508,1,1
436,car14,53.0578,64.0508,2,1
437,car14,53.0578,64.0508,3,1
438,car14,53.0578,64.0508,4,1
439,car14,53.0578,64.0508,5,1
440,car14,53.0578,64.0508,6,1
441,car14,53.0578,64.0508,7,1
442,car14,53.0578,64.0508,8,1
443,car14,53.0578,64.0508,9,1
444,car14,53.0578,64.0508,10,1
445,car14,53.0578,64.0508,11,1
446,car14,53.0578,64.0508,12,1
447,car14,53.0578,64.0508,13,1
448,car14,53.0578,64.0508,14,1
449,car14,53.0578,64.0508,15,1
450,car14,53.0578,64.0508,16,1
451,car14,53.0578,64.0508,17,1
452,car14,53.0578,64.0508,18,1
453,car14,53.0578,64.0508,19,1
454,car14,53.0578,64.0508,20,1
455,car14,53.0578,64.0508,21,1
456,car14,53.0578,64.0508,22,1
457,car14,53.0578,64.0508,23,1
458,car14,53.0578,64.0508,24,1
459,car14,53.0578,64.0508,25,1
460,car14,53.0578,64.0508,26,1
461,car14,53.0578,64.0508,27,1
462,car14,53.0578,64.0508,28,1
463,car14,53.0578,64.0508,29,1
464,car14,53.0578,64.0508,30,1
465,car15,53.0578,64.0508,0,1
466,car15,53.0578,64.0508,1,1
467,car15,53.0578,64.0508,2,1
468,car15,53.0578,64.0508,3,1
469,car15,53.0578,64.0508,4,1
470,car15,53.0578,64.0508,5,1
471,car15,53.0578,64.0508,6,1
472,car15,53.0578,64.0508,7,1
473,car15,53.0578,64.0508,8,1
474,car15,53.0578,64.0508,9,1
475,car15,53.0578,64.0508,10,1
476,car15,53.0578,64.0508,11,1
477,car15,53.0578,64.0508,12,1
478,car15,53.0578,64.0508,13,1
479,car15,53.0578,64.0508,14,1
480,car15,53.0578,64.0508,15,1
481,car15,53.0578,64.0508,16,1
482,car15,53.0578,64.0508,17,1
483,car15,53.0578,64.0508,18,1
484,car15,53.0578,64.0508,19,1
485,car15,53.0578,64.0508,20,1
486,car15,53.0578,64.0508,21,1
487,car15,53.0578,64.0508,22,1
488,car15,53.0578,64.0508,23,1
489,car15,53.0578,64.0508,24,1
490,car15,53.0578,64.0508,25,1
491,car15,53.0578,64.0508,26,1
492,car15,53.0578,64.0508,27,1
493,car15,53.0578,64.0508,28,1
494,car15,53.0578,64.0508,29,1
495,car15,53.0578,64.0508,30,1
496,car16,53.0578,64.0508,0,1
497,car16,53.0578,64.0508,1,1
498,car16,53.0578,64.0508,2,1
499,car16,53.0578,64.0508,3,1
500,car16,53.0578,64.0508,4,1
501,car16,53.0578,64.0508,5,1
502,car16,53.0578,64.0508,6,1
503,car16,53.0578,64.0508,7,1
504,car16,53.0578,64.0508,8,1
505,car16,53.0578,64.0508,9,1
506,car16,53.0578,64.0508,10,1
507,car16,53.0578,64.0508,11,1
508,car16,53.0578,64.0508,12,1
509,car16,53.0578,64.0508,13,1
510,car16,53.0578,64.0508,14,1
511,car16,53.0578,64.0508,15,1
512,car16,53.0578,64.0508,16,1
513,car16,53.0578,64.0508,17,1
514,car16,53.0578,64.0508,18,1
515,car16,53.0578,64.0508,19,1
516,car16,53.0578,64.0508,20,1
517,car16,53.0578,64.0508,21,1
518,car16,53.0578,64.0508,22,1
519,car16,53.0578,64.0508,23,1
520,car16,53.0578,64.0508,24,1
521,car16,53.0578,64.0508,25,1
522,car16,53.0578,64.0508,26,1
523,car16,53.0578,64.0508,27,1
524,car16,53.0578,64.0508,28,1
525,car16,53.0578,64.0508,29,1
526,car16,53.0578,64.0508,30,1
527,car17,53.0578,64.0508,0,1
528,car17,53.0578,64.0508,1,1
529,car17,53.0578,64.0508,2,1
530,car17,53.0578,64.0508,3,1
531,car17,53.0578,64.0508,4,1
532,car17,53.0578,64.0508,5,1
533,car17,53.0578,64.0508,6,1
534,car17,53.0578,64.0508,7,1
535,car17,53.0578,64.0508,8,1
536,car17,53.0578,64.0508,9,1
537,car17,53.0578,64.0508,10,1
538,car17,53.0578,64.0508,11,1
539,car17,53.0578,64.0508,12,1
540,car17,53.0578,64.0508,13,1
541,car17,53.0578,64.0508,14,1
542,car17,53.0578,64.0508,15,1
543,car17,53.0578,64.0508,16,1
544,car17,53.0578,64.0508,17,1
545,car17,53.0578,64.0508,18,1
546,car17,53.0578,64.0508,19,1
547,car17,53.0578,64.0508,20,1
548,car17,53.0578,64.0508,21,1
549,car17,53.0578,64.0508,22,1
550,car17,53.0578,64.0508,23,1
551,car17,53.0578,64.0508,24,1
552,car17,53.0578,64.0508,25,1
553,car17,53.0578,64.0508,26,1
554,car17,53.0578,64.0508,27,1
555,car17,53.0578,64.0508,28,1
556,car17,53.0578,64.0508,29,1
557,car17,53.0578,64.0508,30,1
558,car18,53.0578,64.0508,0,1
559,car18,53.0578,64.0508,1,1
560,car18,53.0578,64.0508,2,1
561,car18,53.0578,64.0508,3,1
562,car18,53.0578,64.0508,4,1
563,car18,53.0578,64.0508,5,1
564,car18,53.0578,64.0508,6,1
565,car18,53.0578,64.0508,7,1
566,car18,53.0578,64.0508,8,1
567,car18,53.0578,64.0508,9,1
568,car18,53.0578,64.0508,10,1
569,car18,53.0578,64.0508,11,1
570,car18,53.0578,64.0508,12,1
571,car18,53.0578,64.0508,13,1
572,car18,53.0578,64.0508,14,1
573,car18,53.0578,64.0508,15,1
574,car18,53.0578,64.0508,16,1
575,car18,53.0578,64.0508,17,1
576,car18,53.0578,64.0508,18,1
577,car18,53.0578,64.0508,19,1
578,car18,53.0578,64.0508,20,1
579,car18,53.0578,64.0508,21,1
580,car18,53.0578,64.0508,22,1
581,car18,53.0578,64.0508,23,1
582,car18,53.0578,64.0508,24,1
583,car18,53.0578,64.0508,25,1
584,car18,53.0578,64.0508,26,1
585,car18,53.0578,64.0508,27,1
586,car18,53.0578,64.0508,28,1
587,car18,53.0578,64.0508,29,1
588,car18,53.0578,64.0508,30,1
589,car19,53.0578,64.0508,0,1
590,car19,53.0578,64.0508,1,1
591,car19,53.0578,64.0508,2,1
592,car19,53.0578,64.0508,3,1
593,car19,53.0578,64.0508,4,1
594,car19,53.0578,64.0508,5,1
595,car19,53.0578,64.0508,6,1
596,car19,53.0578,64.0508,7,1
597,car19,53.0578,64.0508,8,1
598,car19,53.0578,64.0508,9,1
599,car19,53.0578,64.0508,10,1
600,car19,53.0578,64.0508,11,1
601,car19,53.0578,64.0508,12,1
602,car19,53.0578,64.0508,13,1
603,car19,53.0578,64.0508,14,1
604,car19,53.0578,64.0508,15,1
605,car19,53.0578,64.0508,16,1
606,car19,53.0578,64.0508,17,1
607,car19,53.0578,64.0508,18,1
608,car19,53.0578,64.0508,19,1
609,car19,53.0578,64.0508,20,1
610,car19,53.0578,64.0508,21,1
611,car19,53.0578,64.0508,22,1
612,car19,53.0578,64.0508,23,1
613,car19,53.0578,64.0508,24,1
614,car19,53.0578,64.0508,25,1
615,car19,53.0578,64.0508,26,1
616,car19,53.0578,64.0508,27,1
617,car19,53.0578,64.0508,28,1
618,car19,53.0578,64.0508,29,1
619,car19,53.0578,64.0508,30,1
620,car20,53.0578,64.0508,0,1
621,car20,53.0578,64.0508,1,1
622,car20,53.0578,64.0508,2,1
623,car20,53.0578,64.0508,3,1
624,car20,53.0578,64.0508,4,1
625,car20,53.0578,64.0508,5,1
626,car20,53.0578,64.0508,6,1
627,car20,53.0578,64.0508,7,1
628,car20,53.0578,64.0508,8,1
629,car20,53.0578,64.0508,9,1
630,car20,53.0578,64.0508,10,1
631,car20,53.0578,64.0508,11,1
632,car20,53.0578,64.0508,12,1
633,car20,53.0578,64.0508,13,1
634,car20,53.0578,64.0508,14,1
635,car20,53.0578,64.0508,15,1
636,car20,53.0578,64.0508,16,1
637,car20,53.0578,64.0508,17,1
638,car20,53.0578,64.0508,18,1
639,car20,53.0578,64.0508,19,1
640,car20,53.0578,64.0508,20,1
641,car20,53.0578,64.0508,21,1
642,car20,53.0578,64.0508,22,1
643,car20,53.0578,64.0508,23,1
644,car20,53.0578,64.0508,24,1
645,car20,53.0578,64.0508,25,1
646,car20,53.0578,64.0508,26,1
647,car20,53.0578,64.0508,27,1
648,car20,53.0578,64.0508,28,1
649,car20,53.0578,64.0508,29,1
650,car20,53.0578,64.0508,30,1
651,car21,53.0578,64.0508,0,1
652,car21,53.0578,64.0508,1,1
653,car21,53.0578,64.0508,2,1
654,car21,53.0578,64.0508,3,1
655,car21,53.0578,64.0508,4,1
656,car21,53.0578,64.0508,5,1
657,car21,53.0578,64.0508,6,1
658,car21,53.0578,64.0508,7,1
659,car21,53.0578,64.0508,8,1
660,car21,53.0578,64.0508,9,1
661,car21,53.0578,64.0508,10,1
662,car21,53.0578,64.0508,11,1
663,car21,53.0578,64.0508,12,1
664,car21,53.0578,64.0508,13,1
665,car21,53.0578,64.0508,14,1
666,car21,53.0578,64.0508,15,1
667,car21,53.0578,64.0508,16,1
668,car21,53.0578,64.0508,17,1
669,car21,53.0578,64.0508,18,1
670,car21,53.0578,64.0508,19,1
671,car21,53.0578,64.0508,20,1
672,car21,53.0578,64.0508,21,1
673,car21,53.0578,64.0508,22,1
674,car21,53.0578,64.0508,23,1
675,car21,53.0578,64.0508,24,1
676,car21,53.0578,64.0508,25,1
677,car21,53.0578,64.0508,26,1
678,car21,53.0578,64.0508,27,1
679,car21,53.0578,64.0508,28,1
680,car21,53.0578,64.0508,29,1
681,car21,53.0578,64.0508,30,1
682,car22,53.0578,64.0508,0,1
683,car22,53.0578,64.0508,1,1
684,car22,53.0578,64.0508,2,1
685,car22,53.0578,64.0508,3,1
686,car22,53.0578,64.0508,4,1
687,car22,53.0578,64.0508,5,1
688,car22,53.0578,64.0508,6,1
689,car22,53.0578,64.0508,7,1
